subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-036,highControl,3.001871,3.733398,3.838493,3.354120,3.771247,3.819468,3.883664
sub-035,lowMemory,4.144769,2.404581,1.851584,1.871027,1.511068,4.726679,2.062547
sub-035,highMemory,3.626909,1.843888,1.362261,1.156392,0.774315,4.898854,1.027618
sub-035,lowControl,2.420185,2.830405,1.377833,1.487882,1.043939,8.682551,1.559822
sub-035,highControl,2.914240,2.629883,1.280952,1.482455,0.838790,8.384270,1.162949
sub-034,lowMemory,5.794106,2.211815,2.099286,1.602200,2.206268,2.255706,2.895616
sub-034,highMemory,7.007634,2.333809,2.198040,1.550277,2.400968,2.381566,3.138193
sub-034,lowControl,5.089648,2.638384,2.556926,2.084947,2.713964,2.413250,3.422834
sub-034,highControl,5.557534,2.647909,2.686681,2.307577,2.673894,2.572635,2.998758
sub-033,lowMemory,2.947631,1.310811,1.812203,1.809881,0.966648,1.607231,0.358094
sub-033,highMemory,2.693293,0.886844,0.870142,0.871462,0.567494,1.496773,0.628348
sub-033,lowControl,0.927191,0.061595,0.334700,0.290878,-0.594982,1.120387,-0.843007
sub-033,highControl,0.244049,1.770906,2.226669,2.226599,1.764539,1.534276,1.102447
sub-032,lowMemory,-0.086654,4.539617,5.033756,4.673448,3.988253,4.950582,4.052044
sub-032,highMemory,0.000659,3.000001,3.710306,3.332059,2.423500,3.402634,2.131504
sub-032,lowControl,0.056412,4.474246,4.945127,4.452758,4.011354,4.802241,4.159753
sub-032,highControl,-0.266568,4.633156,4.848969,4.897577,3.725303,5.806595,3.887338
